Name,Imdb,Status,Netflix us,Hulu us,Disney plus us,Appletv plus us
Joanna,tt2976354,nominated,false,false,false,
Our Curse,tt3069992,nominated,false,false,false,
The Reaper,tt3438472,nominated,false,false,false,
White Earth,tt3044564,nominated,false,false,false,
Citizenfour,tt4044364,won,false,false,false,
Finding Vivian Maier,tt2714900,nominated,false,false,false,
Last Days in Vietnam,tt3279124,nominated,false,false,false,
The Salt of the Earth,tt3674140,nominated,false,false,false,
Virunga,tt3455224,nominated,true,false,false,
Ida,tt2718492,won,false,false,false,
Leviathan,tt2802154,nominated,false,false,false,
Tangerines,tt2991224,nominated,false,false,false,
Timbuktu,tt3409392,nominated,false,false,false,
Wild Tales,tt3011894,nominated,false,false,false,
Big Hero 6,tt2245084,won,false,false,true,
How to Train Your Dragon 2,tt1646971,nominated,false,false,false,
Song of the Sea,tt1865505,nominated,false,false,false,
The Boxtrolls,tt0787474,nominated,false,false,false,
The Tale of The Princess Kaguya,tt2576852,nominated,false,false,false,
Spotlight,tt1895587,won,false,false,false,
Bridge of Spies,tt3682448,nominated,false,false,false,
Brooklyn,tt2381111,nominated,false,false,false,
Room,tt3170832,nominated,true,false,false,
The Martian,tt3659388,nominated,false,false,false,
Straight Outta Compton,tt1398426,nominated,false,false,false,
The Big Short,tt1596363,won,false,false,false,
Carol,tt2402927,nominated,false,false,false,
The Revenant,tt1663202,won,false,false,false,
Sicario,tt3397884,nominated,false,false,false,
Mad Max: Fury Road,tt1392190,won,false,false,false,
Star Wars: Episode VII - The Force Awakens,tt2488496,nominated,false,false,true,
The Danish Girl,tt0810819,nominated,true,false,false,
Cinderella,tt1661199,nominated,false,false,false,
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,tt2113681,nominated,false,false,false,
Spectre,tt2379713,won,false,false,false,
Fifty Shades of Grey,tt2322441,nominated,false,false,false,
Racing Extinction,tt1618448,nominated,false,false,false,
The Hunting Ground,tt4185572,nominated,false,false,false,
Youth,tt3312830,nominated,false,false,false,
The Hateful Eight,tt3460252,won,true,false,false,
Ex Machina,tt0470752,won,true,false,false,
Historia de un oso,tt3829254,won,false,false,false,
Prologue,tt4955294,nominated,false,false,false,
Sanjay's Super Team,tt4661600,nominated,false,false,true,
We Can't Live Without Cosmos,tt3965660,nominated,false,false,false,
World of Tomorrow,tt4171032,nominated,false,false,false,
Stutterer,tt4817576,won,false,false,false,
Alles wird gut,tt4324518,nominated,false,false,false,
Ave Maria,tt4419794,nominated,false,false,false,
Day One,tt4122886,nominated,false,false,false,
Shok,tt4273570,nominated,false,false,false,
A Girl in the River: The Price of Forgiveness,tt5144072,won,false,false,false,
Body Team 12,tt4430002,nominated,false,false,false,
"Chau, Beyond the Lines",tt4084844,nominated,false,false,false,
Claude Lanzmann: Spectres of the Shoah,tt4815426,nominated,false,false,false,
Last Day of Freedom,tt4172096,nominated,false,false,false,
Amy,tt2870648,won,true,false,false,
Cartel Land,tt4126304,nominated,false,true,false,
The Look of Silence,tt3521134,nominated,false,false,false,
"What Happened, Miss Simone?",tt4284010,nominated,true,false,false,
Winter on Fire: Ukraine's Fight for Freedom,tt4908644,nominated,true,false,false,
Son of Saul,tt3808342,won,false,false,false,
A War,tt3830162,nominated,false,false,false,
Embrace of the Serpent,tt4285496,nominated,false,true,false,
Mustang,tt3966404,nominated,false,false,false,
Theeb,tt3170902,nominated,false,false,false,
Inside Out,tt2096673,won,false,false,true,
Anomalisa,tt2401878,nominated,false,false,false,
Boy and the World,tt3183630,nominated,true,false,false,
Shaun the Sheep Movie,tt2872750,nominated,false,false,false,
When Marnie Was There,tt3398268,nominated,false,false,false,
12 Years a Slave,tt2024544,won,false,false,false,
American Hustle,tt1800241,nominated,false,false,false,
Captain Phillips,tt1535109,nominated,false,false,false,
Nebraska,tt1821549,nominated,false,false,false,
Philomena,tt2431286,nominated,false,false,false,
The Wolf of Wall Street,tt0993846,nominated,false,false,false,
Her,tt1798709,won,true,false,false,
Blue Jasmine,tt2334873,nominated,false,false,false,
Before Midnight,tt2209418,nominated,false,false,false,
Gravity,tt1454468,won,false,false,false,
Inside Llewyn Davis,tt2042568,nominated,false,false,false,
Prisoners,tt1392214,nominated,false,false,false,
The Grandmaster,tt1462900,nominated,true,false,false,
The Great Gatsby,tt1343092,won,false,false,false,
The Invisible Woman,tt1700845,nominated,false,false,false,
Dallas Buyers Club,tt0790636,won,true,false,false,
Bad Grandpa,tt3063516,nominated,false,false,false,
The Lone Ranger,tt1210819,nominated,false,false,false,
Frozen,tt2294629,won,false,false,true,
Alone Yet Not Alone,tt1986769,nominated,false,false,false,
Despicable Me 2,tt1690953,nominated,false,false,false,
Mandela: Long Walk to Freedom,tt2304771,nominated,false,false,false,
Saving Mr. Banks,tt2140373,nominated,true,false,true,
The Book Thief,tt0816442,nominated,false,false,false,
Lone Survivor,tt1091191,nominated,false,false,false,
The Hobbit: The Desolation of Smaug,tt1170358,nominated,false,false,false,
All Is Lost,tt2017038,nominated,false,false,false,
Iron Man 3,tt1300854,nominated,false,false,true,
Star Trek Into Darkness,tt1408101,nominated,false,false,false,
Mr Hublot,tt3043542,won,false,false,false,
Feral,tt2499022,nominated,false,false,false,
Get a Horse!,tt2980764,nominated,false,false,false,
Possessions,tt3080074,nominated,false,false,false,
Room on the Broom,tt2484120,nominated,true,false,false,
Helium,tt3346410,won,false,false,false,
Do I Have to Take Care of Everything?,tt2256646,nominated,false,false,false,
Just Before Losing Everything,tt2689992,nominated,false,false,false,
That Wasn't Me,tt2372213,nominated,false,false,false,
The Voorman Problem,tt1998355,nominated,false,false,false,
The Lady in Number 6: Music Saved My Life,tt2924484,won,false,false,false,
Cavedigger,tt2516860,nominated,false,false,false,
Facing Fear,tt2776636,nominated,false,false,false,
Karama Has No Walls,tt2551790,nominated,false,false,false,
Prison Terminal: The Last Days of Private Jack Hall,tt3145026,nominated,false,false,false,
20 Feet from Stardom,tt2396566,won,true,false,false,
Cutie and the Boxer,tt2355540,nominated,true,false,false,
Dirty Wars,tt2532528,nominated,false,true,false,
The Act of Killing,tt2375605,nominated,false,false,false,
The Square,tt2486682,nominated,true,false,false,
The Great Beauty,tt2358891,won,false,false,false,
Omar,tt2852406,nominated,false,false,false,
The Broken Circle Breakdown,tt2024519,nominated,false,false,false,
The Hunt,tt2106476,nominated,false,false,false,
The Missing Picture,tt2852470,nominated,false,false,false,
Ernest & Celestine,tt1816518,nominated,false,false,false,
The Croods,tt0481499,nominated,true,false,false,
The Wind Rises,tt2013293,nominated,false,false,false,
Argo,tt1024648,won,false,false,false,
Beasts of the Southern Wild,tt2125435,nominated,false,false,false,
Silver Linings Playbook,tt1045658,nominated,true,false,false,
Django Unchained,tt1853728,won,false,false,false,
Flight,tt1907668,nominated,false,false,false,
Moonrise Kingdom,tt1748122,nominated,false,false,false,
Life of Pi,tt0454876,won,false,false,false,
Lincoln,tt0443272,won,false,false,false,
The Hobbit: An Unexpected Journey,tt0903624,nominated,false,false,false,
Anna Karenina,tt1781769,won,true,false,false,
Mirror Mirror,tt1667353,nominated,false,false,false,
Snow White and the Huntsman,tt1735898,nominated,false,false,false,
Les Misérables,tt1707386,won,false,false,false,
Hitchcock,tt0975645,nominated,false,false,false,
Skyfall,tt1074638,won,false,false,false,
Chasing Ice,tt1579361,nominated,false,false,false,
Ted,tt1637725,nominated,false,false,false,
Zero Dark Thirty,tt1790885,won,false,false,false,
Prometheus,tt1446714,nominated,false,false,false,
The Avengers,tt0848228,nominated,false,false,true,
Paperman,tt2388725,won,false,false,false,
Adam and Dog,tt2162565,nominated,false,false,false,
Fresh Guacamole,tt2309977,nominated,false,false,false,
