Name,Imdb,Status,Netflix us,Hulu us,Disney plus us,Appletv plus us
Angie Tribeca,tt3597790,nominated,false,true,false,
K.C. Undercover,tt3598030,nominated,false,true,true,
Rush Hour,tt4085584,nominated,false,false,false,
Dancing with the Stars,tt0463398,won,false,false,false,
Breaking Bad,tt0903747,won,true,false,false,
Modern Family,tt1442437,won,false,true,false,
The Normal Heart,tt1684226,won,false,false,false,
Killing Kennedy,tt2815030,nominated,false,false,false,
Muhammad Ali's Greatest Fight,tt2061756,nominated,false,false,false,
The Trip to Bountiful,tt3317326,nominated,false,false,false,
True Detective,tt2356777,won,false,false,false,
Episodes,tt1582350,nominated,true,false,false,
Louie,tt1492966,won,false,false,false,
The Colbert Report,tt0458254,won,false,false,false,
Deadliest Catch,tt0446809,won,false,true,false,
Alaska: The Last Frontier,tt1877010,nominated,false,false,false,
Flipping Out,tt1078394,nominated,false,false,false,
Million Dollar Listing New York,tt1879599,nominated,false,false,false,
Wahlburgers,tt3333880,nominated,false,false,false,
Wild Things with Dominic Monaghan,tt2523506,nominated,false,false,false,
Bonnie & Clyde,tt2707792,nominated,false,false,false,
The White Queen,tt2372220,nominated,false,false,false,
Brooklyn Nine-Nine,tt2467372,won,false,true,false,
It's Always Sunny in Philadelphia,tt0472954,nominated,false,true,false,
Sam & Cat,tt2487090,nominated,true,false,false,
Skywire Live with Nik Wallenda,tt3003450,won,false,false,false,
Life According to Sam,tt2558550,won,false,false,false,
30 for 30: Soccer Stories,tt3460320,nominated,false,false,false,
Brave Miss World,tt2514298,nominated,true,false,false,
Bob's Burgers,tt1561755,won,false,true,false,
Teenage Mutant Ninja Turtles,tt1877889,nominated,false,true,false,
The Oscars,tt2796782,won,false,false,false,
House of Lies,tt1797404,won,false,false,false,
Justified,tt1489428,nominated,false,true,false,
True Blood,tt0844441,nominated,false,false,false,
Boardwalk Empire,tt0979432,won,false,false,false,
Orange Is the New Black,tt2372162,won,true,false,false,
One Last Hug: Three Days at Grief Camp,tt3170348,won,false,false,false,
Degrassi: The Next Generation,tt0288937,nominated,false,false,false,
Good Luck Charlie,tt1415889,nominated,false,false,true,
Wynton Marsalis: A YoungArts Masterclass,tt4246830,nominated,false,false,false,
The Square,tt2486682,won,true,false,false,
Fleming,tt2647420,nominated,false,false,false,
How I Met Your Mother,tt0460649,won,false,true,false,
Last Man Standing,tt1828327,nominated,false,true,false,
The Exes,tt1830888,nominated,false,false,false,
House of Versace,tt3077060,nominated,false,false,false,
HitRECord on TV,tt3453566,won,false,false,false,
American Masters,tt0364151,won,false,false,false,
Years of Living Dangerously,tt2963070,won,false,false,false,
Pioneers of Television,tt0964941,nominated,false,false,false,
The World Wars,tt3543006,nominated,false,false,false,
American Experience,tt0094416,won,false,false,false,
Paycheck to Paycheck: The Life and Times of Katrina Gilbert,tt3881494,nominated,false,false,false,
Running from Crazy,tt2451742,nominated,false,false,false,
The Sixties,tt3268200,nominated,false,false,false,
Whoopi Goldberg Presents Moms Mabley,tt2319863,nominated,false,false,false,
Mob City,tt2176609,nominated,false,false,false,
The Originals,tt2632424,nominated,true,false,false,
Gravity Falls,tt1865718,won,false,true,true,
Robot Chicken DC Comics Special II: Villains in Paradise,tt3578794,won,false,false,false,
The Powerpuff Girls: Dance Pantsed,tt2732940,won,false,false,false,
Uncle Grandpa,tt3042608,won,false,true,false,
The Writers' Room,tt3059532,nominated,false,false,false,
Through the Wormhole,tt1513168,nominated,false,false,false,
The Tonight Show Starring Jimmy Fallon,tt3444938,won,false,true,false,
Sochi 2014: XXII Olympic Winter Games,tt3446082,won,false,false,false,
Anna Nicole,tt2515242,nominated,false,false,false,
Clear History,tt2279864,nominated,false,false,false,
Herblock: The Black & the White,tt2893134,nominated,false,false,false,
Cosmos: A Spacetime Odyssey,tt2395695,won,false,false,false,
The Night That Changed America: A Grammy Salute to the Beatles,tt3534542,won,false,false,false,
Big Cat Week,tt3379616,won,false,false,false,
One Life,tt1762300,nominated,false,false,false,
Too Cute!,tt2197519,nominated,false,true,false,
Wildlife Specials: The Spy Collection,tt3602902,nominated,false,false,false,
Magic City,tt1832045,nominated,false,false,false,
Sleepy Hollow,tt2647544,nominated,false,true,false,
The Spoils of Babylon,tt2884286,nominated,false,false,false,
The 67th Annual Tony Awards,tt2782682,won,false,false,false,
A Christmas Carol: The Concert,tt3574864,nominated,false,false,false,
Sofia the First,tt2136138,nominated,true,false,false,
Sons of Anarchy,tt1124373,nominated,false,true,false,
The Daily Show,tt0115147,won,false,false,false,
Billy Crystal: 700 Sundays,tt3383040,nominated,false,false,false,
The Amazing Race,tt0285335,won,false,true,false,
Between Two Ferns with Zach Galifianakis,tt1535002,won,false,false,false,
Parks and Recreation,tt1266020,nominated,true,true,false,
Super Bowl XLVIII Halftime Show,tt3500748,nominated,false,false,false,
The Soup,tt0421460,nominated,false,false,false,
30 for 30 Shorts,tt2158640,won,false,false,false,
Klondike,tt2761630,nominated,false,false,false,
Nurse Jackie,tt1190689,won,true,false,false,
Californication,tt0904208,nominated,false,true,false,
House of Cards,tt1856010,won,true,false,false,
Treme,tt1279972,won,false,false,false,
The 56th Annual Grammy Awards,tt3488436,won,false,false,false,
The 36th Annual Kennedy Center Honors,tt3427230,nominated,false,false,false,
71st Golden Globe Awards,tt3262722,nominated,false,false,false,
Agents of S.H.I.E.L.D.,tt2364582,nominated,true,true,false,
Almost Human,tt2654580,nominated,false,false,false,
The 100,tt2661044,nominated,true,false,false,
Hawaii Five-0,tt1600194,nominated,false,false,false,
The Blacklist,tt2741602,won,true,false,false,
Grimm,tt1830617,nominated,false,false,false,
The Sound of Music Live!,tt3141866,won,false,false,false,
AFI Life Achievement Award: A Tribute to Mel Brooks,tt3041356,won,false,false,false,
Best of Late Night with Jimmy Fallon Primetime Special,tt5262864,nominated,false,false,false,
Sarah Silverman: We Are Miracles,tt2883224,nominated,false,false,false,
Homeland,tt1796960,won,false,true,false,
New Girl,tt1826940,nominated,true,false,false,
Game Change,tt1848902,won,false,false,false,
Late Show with David Letterman,tt0106053,nominated,false,false,false,
Undercover Boss,tt1442553,won,false,false,false,
Great Performances,tt0159876,won,false,false,false,
Independent Lens,tt0486531,won,false,false,false,
Paradise Lost 3: Purgatory,tt2028530,nominated,false,false,false,
The Penguins of Madagascar,tt0892700,won,false,true,false,
The 54th Annual Grammy Awards,tt2234459,won,false,false,false,
The 65th Annual Tony Awards,tt1961536,won,false,false,false,
Great Expectations,tt1949720,won,false,false,false,
2 Broke Girls,tt1845307,won,false,false,false,
Hell's Kitchen,tt0437005,nominated,false,true,false,
Girls,tt1723816,won,false,false,false,
The Big C,tt1515193,nominated,false,false,false,
Five,tt1877740,nominated,false,false,false,
Growing Hope Against Hunger,tt2078628,won,false,false,false,
It Gets Better,tt2282286,nominated,false,false,false,
The Weight of the Nation for Kids,tt3071294,nominated,false,false,false,
Wizards of Waverly Place,tt0799922,won,false,false,true,
Victorious,tt1604099,nominated,true,false,false,
iCarly,tt0972534,nominated,false,false,false,
Smash,tt1825133,won,false,false,false,
Frozen Planet,tt2092588,won,false,false,false,
Whale Wars,tt1195419,nominated,false,false,false,
Treasure Island,tt1820723,nominated,false,false,false,
Two and a Half Men,tt0369179,won,false,false,false,
Pair of Kings,tt1571313,nominated,false,false,false,
Pan Am,tt1826805,nominated,false,false,false,
The X Factor,tt1582461,won,false,false,false,
Dirty Work,tt2331613,won,false,false,false,
George Harrison: Living in the Material World,tt1113829,won,false,false,false,
Phineas and Ferb,tt0852863,won,false,false,true,
Prep & Landing: Naughty vs. Nice,tt2069885,won,false,false,false,
Secret Mountain Fort Awesome,tt2010634,won,false,false,false,
Super Bowl XLVI Halftime Show,tt2331680,nominated,false,false,false,
The Victoria's Secret Fashion Show,tt2049576,nominated,false,false,false,
Strike Back,tt1492179,nominated,false,false,false,
Hatfields & McCoys,tt1985443,won,false,false,false,
The Middle,tt1442464,nominated,false,false,false,
Hemingway & Gellhorn,tt0423455,won,false,false,false,
Missing,tt1828246,nominated,false,false,false,
The Kennedy Center Honors: A Celebration of the Performing Arts,tt2187127,won,false,false,false,
Christmas in Washington,tt2317194,nominated,false,false,false,
Michael Feinstein: The Sinatra Legacy,tt1948079,nominated,false,false,false,
Seth MacFarlane: Swingin' in Concert,tt1886671,nominated,false,false,false,
The Weight of the Nation,tt2220150,nominated,false,false,false,
6 Days to Air: The Making of South Park,tt2076781,nominated,false,false,false,
Bobby Fischer Against the World,tt1777551,nominated,false,false,false,
Gloria: In Her Own Words,tt2036377,nominated,false,false,false,
Page Eight,tt1797469,won,false,false,false,
Hell on Wheels,tt1699748,nominated,true,false,false,
Touch,tt1821681,nominated,false,true,false,
Raising Hope,tt1615919,nominated,false,true,false,
The Heart of Christmas,tt2094146,nominated,false,true,false,
Beyond Scared Straight,tt1707374,nominated,false,true,false,
The 2012 Rock and Roll Hall of Fame Induction Ceremony,tt2393997,won,false,false,false,
Extreme Makeover: Home Edition,tt0388595,nominated,false,false,false,
The Walking Dead,tt1520211,won,true,false,false,
Regular Show,tt1710308,won,false,true,false,
Mad,tt1718438,nominated,false,false,false,
Curb Your Enthusiasm,tt0264235,won,false,false,false,
The River,tt1836195,nominated,false,false,false,
CSI: Miami,tt0313043,nominated,false,true,false,
Under African Skies,tt2112868,won,false,false,false,
Person of Interest,tt1839578,nominated,true,false,false,
The 84th Annual Academy Awards,tt2089826,won,false,false,false,
Lionel Richie and Friends,tt2170872,nominated,false,false,false,
Web Therapy,tt1930123,nominated,false,false,false,
The 69th Annual Golden Globe Awards,tt2125640,nominated,false,false,false,
Falling Skies,tt1462059,nominated,false,false,false,
